"Cycle","Sample_ID","Condition","Discharge_Capacity.Ah."
50,1,1,3.270956
50,2,1,3.258625
50,3,1,3.26288
50,4,1,3.281747
50,5,1,3.267531
50,6,1,3.293441
50,7,1,3.266536
50,8,1,3.262268
50,9,2,3.257634
50,10,2,3.262119
50,11,2,3.276579
50,12,2,3.259572
50,13,2,3.247614
50,14,2,3.268601
50,15,2,3.265115
50,16,2,3.258266
50,17,3,3.273406
50,18,3,3.281265
50,19,3,3.269292
50,20,3,3.274337
50,21,3,3.274215
50,22,3,3.27241
50,23,3,3.269022
50,25,4,3.265889
50,26,4,3.277604
50,27,4,3.257863
50,28,4,3.253899
50,29,4,3.259327
50,30,4,3.258279
50,32,4,3.254328
50,33,5,3.271591
50,34,5,3.288283
50,35,5,3.271287
50,36,5,3.275348
50,37,5,3.282418
50,38,5,3.281061
50,39,5,3.274633
50,40,5,3.287751
50,41,6,3.265342
50,43,6,3.260016
50,44,6,3.257366
50,45,6,3.250523
50,46,6,3.250269
50,47,6,3.253522
50,48,6,3.262477
50,49,7,3.256598
50,50,7,3.277606
50,51,7,3.267025
50,52,7,3.252881
50,53,7,3.260587
50,54,7,3.25884
50,55,7,3.26516
50,56,7,3.270944
50,57,8,3.261377
50,58,8,3.258751
50,59,8,3.261414
50,60,8,3.263906
50,61,8,3.247936
50,62,8,3.263154
50,63,8,3.260824
50,64,8,3.257987
50,65,9,3.26717
50,66,9,3.269121
50,67,9,3.266651
50,68,9,3.262033
50,69,9,3.262677
50,70,9,3.260403
50,71,9,3.264302
50,72,9,3.2711
50,73,10,3.268732
50,74,10,3.256108
50,75,10,3.264543
50,76,10,3.249917
50,77,10,3.257361
50,78,10,3.255806
50,79,10,3.256261
50,80,10,3.255611
50,81,11,3.269083
50,82,11,3.270526
50,83,11,3.254782
50,84,11,3.269146
50,85,11,3.269006
50,86,11,3.262066
50,87,11,3.26801
50,88,11,3.265265
50,89,12,3.234598
50,90,12,3.243626
50,91,12,3.251012
50,92,12,3.256232
50,93,12,3.238615
