"Cycle","Condition","Discharge_Capacity.Ah."
50,1,3.270498
50,2,3.2619375
50,3,3.273421
50,4,3.261027
50,5,3.2790465
50,6,3.25707357142857
50,7,3.263705125
50,8,3.259418625
50,9,3.265432125
50,10,3.258042375
50,11,3.2659855
50,12,3.245656
50,13,3.23191
50,14,3.240094125
50,15,3.24252125
50,16,3.225725
50,17,3.237169
50,18,3.226789375
50,19,3.17494475
50,20,3.170220875
50,21,3.1611585
50,22,3.17746125
50,23,3.18442433333333
50,24,3.137503
100,1,3.23834775
100,2,3.221483
100,3,3.23863714285714
100,4,3.21879266666667
100,5,3.238149375
100,6,3.21341857142857
100,7,3.214141625
100,8,3.2064815
100,9,3.218628
100,10,3.205511125
100,11,3.209781625
100,12,3.19236375
100,13,3.1541525
100,14,3.14404625
100,15,3.152535625
100,16,3.13023875
100,17,3.164541125
100,18,3.13721025
100,19,3.0537525
100,20,3.004567
100,21,3.061485625
100,22,2.9972995
100,23,3.06548433333333
100,24,2.55156433333333
150,1,3.21838275
150,2,3.19894525
150,3,3.21551271428571
150,4,3.19248985714286
150,5,3.22328725
150,6,3.200511
150,7,3.190120625
150,8,0.941303625
150,9,3.198476625
150,10,3.180555625
150,11,3.18718075
150,12,3.178837375
150,13,3.121336375
150,14,3.089275
150,15,3.11943575
150,16,3.101902375
150,17,3.131557375
150,18,3.105314625
150,19,2.995759875
150,20,2.696110875
150,21,3.007488125
150,22,2.6907611489296
150,23,3.00865833333333
150,24,1.62392533333333
200,1,3.2000495
200,2,3.19853975
200,3,3.21268414285714
200,4,3.16558966666667
200,5,3.21411025
200,6,3.1815855
200,7,3.171527375
200,8,3.153952375
200,9,3.17832525
200,10,3.157418625
200,11,3.177206
200,12,3.15703375
200,13,3.0919285
200,14,3.057467875
200,15,3.1019005
200,16,3.0614735
200,17,3.10331725
200,18,3.072215125
200,19,2.941547875
200,21,2.94733125
200,23,2.91523281733195
250,1,3.18017275
250,2,3.156196375
250,3,3.18823868887765
250,4,3.146644
250,5,3.19773489236831
250,6,3.14620171428571
250,7,3.154654
250,8,3.124910125
250,9,3.161916875
250,10,3.128314125
250,11,3.16079175
250,12,3.13964625
250,13,3.09796925
250,14,2.995046
250,15,3.07684125
250,16,3.065145875
250,17,3.0701675
250,18,3.079153125
250,19,2.93723575
250,20,1.1717547
250,21,2.891858375
250,22,1.41673025
250,23,2.82268533333333
300,1,3.177246375
300,2,3.1505355
300,3,3.17713025
300,4,3.14287566666667
300,5,3.183741875
300,6,3.15292614285714
300,7,3.158755
300,8,3.119695625
300,9,3.164830875
300,10,3.109253
300,11,3.146715
300,12,3.14135025
300,13,3.032190375
300,14,2.9887445
300,15,3.079745
300,16,2.945788375
300,17,3.0734695
300,18,2.994481375
300,19,2.75080375
300,21,2.821469375
300,23,2.479342
350,1,3.168872375
350,2,3.13957925
350,3,3.159256
350,4,3.12774766666667
350,5,3.1562955
350,6,3.14060371428571
350,7,3.11455025
350,8,3.090081875
350,9,3.124388875
350,10,3.10698925
350,11,3.151742875
350,12,3.100303375
350,13,3.016603375
350,14,2.946540125
350,15,3.00888375
350,16,2.9570315
350,17,3.030065875
350,18,2.993097125
350,19,2.678173125
350,21,2.5729615
400,1,3.15028425
400,2,3.122662875
400,3,3.16106757142857
